,0,1,2,3
SNR,0.0,5.0,10.0,15.0
CNN,0.09245190308802963,0.09297223693168924,0.0928,0.09044217030314733
RNN,0.08995653523750388,0.08950593345226092,0.0897052541648868,0.0869980879541109
CRNN,0.09216518718641452,0.09097584541062802,0.08984040482678085,0.09186321211417063
